,NUTR_CONT4,NUTR_CONT2,NUTR_CONT3,DESC_KOR
26716,1.0,25.0,2.0,꼬마링딸기당근
26717,1.1,25.0,3.0,꼬마링브로콜리사과
26718,8.0,18.0,2.0,꽃약과
26719,8.0,36.0,5.0,내이름은꼬마곰
26720,17.0,46.0,6.0,눈꽃핀옥수수
26721,17.0,35.0,4.6,눈꽃핀옥수수어니언맛
26722,16.0,39.0,3.0,달콤한눈꽃핀옥수수
26723,36.0,97.0,10.0,달콤한조청꽈배기
26724,13.0,57.0,8.0,땅콩깨비
26725,9.0,74.0,9.0,땅콩전병
26726,32.0,77.0,7.0,미니초코칩쿠키
26727,9.0,43.0,2.0,바나나볼
26728,0.8,49.0,4.0,백미뻥이요
26729,26.0,43.0,8.0,버터롤쿠키(스탠드)
26730,8.0,24.0,4.0,삐약이계란과자
26731,22.0,24.0,2.0,사르르콘스낵
26732,9.0,44.0,1.0,삼색방울유과
26733,26.0,111.0,8.0,쌀소라형과자
26734,20.0,48.0,8.0,양파맛두부스낵
26735,16.0,63.0,7.0,오곡야채크래커
26736,11.0,65.0,5.0,오란다
26737,0.6,24.0,2.5,옥수수팝칩
26738,3.1,42.0,3.0,우리곡초코링
26739,7.0,21.0,2.0,우리땅콘칩
26740,16.0,72.0,18.0,우리밀라면땅
26741,17.0,73.0,8.0,우리밀라면땅떡볶이맛
26742,17.0,56.0,4.0,우리밀로만든딸기웨하스
26743,4.7,14.0,2.0,우리밀로만든와플
26744,23.0,48.0,6.0,우리밀로만든웨하스
26745,20.0,98.0,8.0,우리밀로만든초코웨하스
26746,3.7,12.0,1.0,우리밀로만든코코아와플
26747,4.1,12.0,2.0,우리밀로만든현미와플
26748,18.0,143.0,14.0,우리밀보리건빵
26749,29.0,100.0,7.0,우리밀약과
26750,6.0,19.0,3.0,우리밀참깨스틱
26751,5.6,22.0,2.0,우리아이착한감자
26752,4.7,22.0,2.0,우리아이착한새우
26753,10.0,96.0,8.0,유기농땅콩쌀강정
26754,2.7,89.0,4.0,유기농미프레이크
26755,3.4,104.0,5.0,유기농쌀강정
26756,2.0,57.0,5.0,유기농쌀로만든현미잠팝스
26757,2.1,66.0,6.0,유기농쌀로만든현미팝스낵
26758,3.4,42.0,2.0,유기농쌀프레이크
26759,2.3,104.0,7.0,레인보우믹스*120G*도울
26760,,33.0,3.0,유기농핑거스틱단호박
26761,0.5,33.0,3.0,유기농핑거스틱자색고구마
26762,1.3,32.0,3.0,유기농핑거스틱현미
26763,0.7,26.0,2.0,유기농현미스낵
26764,13.0,32.0,4.0,인절미스낵
26765,0.4,27.0,1.8,쥬웨이라이스비스킷
26766,0.5,27.0,1.7,쥬웨이라이스비스킷단호박
26767,0.5,27.0,1.7,쥬웨이라이스비스킷바나나
26768,0.5,27.0,1.8,쥬웨이라이스비스킷자색고구마
26769,14.0,75.0,2.0,찹쌀유과
26770,24.0,47.0,5.0,초코칩쿠키(스탠드)
26771,24.0,44.0,7.0,초코쿠키(스탠드)
26772,9.0,18.0,2.0,초코크림파이
26773,3.8,57.0,5.0,코코아스낵
26774,17.0,35.0,4.0,크런치초코
26775,25.0,56.0,5.0,피넛오곡롤
26776,1.5,48.0,4.0,현미뻥이요
26777,10.0,50.0,2.0,호박고구마스틱
26778,22.0,29.0,2.0,호박고구마칩
26779,9.0,74.0,9.0,흑임자전병
26780,1.0,21.0,2.0,단팥가득바
26781,7.0,32.0,4.0,과자속아이스빈
26782,,3.0,0.0,꼬마우산감귤
26783,,2.0,0.0,꼬마우산포도
26784,1.7,20.0,0.7,눈꽃딸기샤베트
26785,4.6,19.0,2.0,딸기머거바
26786,3.7,16.0,3.0,리얼밀크바
26787,6.0,12.0,2.0,리얼밀크초콜릿바
26788,9.0,14.0,3.0,바닐라향아이스크림
26789,9.0,15.0,4.0,스노우화이트
26790,20.0,36.0,4.0,아이콘아이스크림
26791,,27.0,0.0,얼음속에귤한쪽
26792,,27.0,0.0,얼음속에사과한쪽
26793,6.0,29.0,2.0,얼음속에카카오한쪽
26794,5.0,15.0,2.0,초코가득바
26795,1.3,16.0,2.0,초코샤베트
26796,13.0,38.0,5.0,초코아이콘아이스크림
26797,7.0,14.0,4.0,초콜릿아이스크림
26798,6.0,11.0,1.0,커피가득바
26799,,13.0,0.6,파인애플청량바
26800,,,3.0,씨쉘초콜릿(미니)
26801,,,3.0,씨쉘초콜릿(소)
26802,,,3.0,씨쉘초콜릿(중)
26803,,,3.0,씨쉘초콜릿(대)
26804,,,2.0,봉봉 오 쇼콜라(중)
26805,,,2.0,봉봉 오 쇼콜라(대)
26806,,,12.0,끼니반란(卵) 반숙란
26807,,,3.0,양송이 스프
26808,,,5.0,미네스트로네 스프
26809,,,2.0,콘 스프
26810,,,10.0,스모크드브랏(2개입)
26811,,,3.0,컵스크림 딸기
26812,,,5.0,밀크킹
26813,,,3.0,컵스크림 블루베리
26814,,,0.0,프루티캔디(중)
26815,,,4.0,컵스크림 쿠키&크림
26816,,,7.0,치즈 디저트 아이스크림
26817,,,0.0,후르티아오젤리 포도
26818,,,6.0,블루베리 마카롱 아이스크림
26819,,,1.0,로투스 트윈팩
26820,,,6.0,쿠키앤크림 마카롱 아이스크림
26821,,,0.0,후르티아오젤리 석류&알로에
26822,,,4.0,딸기요거트콘아이스크림
26823,,,0.0,후르티아오젤리 망고
26824,,,0.0,후르티아오젤리 오렌지
26825,,,6.0,바닐라맛아이스크림콘
26826,,,5.0,모찌 아이스크림
26827,,,2.0,팥모나카아이스크림
26828,,,2.0,녹차모나카아이스크림
26829,,,0.0,리얼 청포도 소르베바
26830,,,3.0,리얼 블루베리요거트바
26831,,,0.0,프루요 피치
26832,,,0.0,리얼망고소르베바
26833,,,1.0,리얼 수박바
26834,,,1.0,리얼 유자요거트바
26835,,,1.0,리얼 키위요거트바
26836,,,4.0,리얼민트초코바
26837,,,1.0,팥 아이스캔디
26838,,,0.0,핑크퐁 젤리스틱
26839,,,1.0,몽키바나나 아이스캔디
26840,,,1.0,딸기 아이스캔디
26841,,,3.0,초코 아이스캔디
26842,,,2.0,메론 아이스캔디
26843,,,0.0,파인깔라만시 아이스캔디
26844,,,0.0,OEAU생수
26845,,,0.0,ICE AGE(아이스 에이지) 500ml
26846,,,5.0,아침&딸기 우유 200㎖
26847,,,6.0,아침&후레쉬 저지방우유 200㎖
26848,,,6.0,아침&후레쉬 저지방우유 900㎖
26849,,,6.0,SoyU(쏘유) 플레인
26850,,,1.0,데일리주스 포도
26851,,,1.0,데일리주스 자몽
26852,,,0.0,나츄나츄허니과즙(복숭아&망고)
26853,,,1.0,나츄나츄허니과즙(파인애플&오렌지)
26854,,,0.0,보툰블록 마이멜로디(사과)
26855,,,1.0,보툰블록 구데타마(트로피칼)
26856,,,6.0,CLA우유(밀크플러스)200ml
26857,,,4.0,요거트플러스 플레인
26858,,,4.0,요거트플러스 딸기
26859,,,6.0,설목장 유기농 우유(200ml)
26860,,,5.0,雪목장 유기농 요거트(450ml)
26861,,,4.0,제주 녹차라떼
26862,,,0.0,꿀담은 거제유자
26863,,,0.0,Cheeky 복숭아티
26864,,,0.0,향기로운 오후의 카모마일
26865,,,0.0,편안한 오후의 루이보스
26866,,,0.0,오스파클링 라임
26867,,,0.0,보틀그린(석류&엘더플라워)
26868,,,0.0,시칠리아스파클링 (석류)
26869,,,0.0,시칠리아스파클링 (오리엔탈)
26870,,,0.0,공룡메카드 오렌지 (PET)
26871,,,0.0,공룡메카드 사과 (치어팩)
26872,,,0.0,보툰브라운(망고&파인)
26873,,,0.0,보툰코니(복숭아)
26874,,,0.0,공룡메카드 오렌지 (치어팩)
26875,,,0.0,스파클링 피치
26876,,,0.0,롤리팝캔디(파핑블루핑크)
26877,,,33.44,코카콜라
26878,,,0.0,코카콜라(캔)
26879,,,0.0,펩시콜라
26880,,,0.0,스프라이트
26881,,,0.0,칠성사이다
26882,,,1.0,오렌지 주스
26883,,,0.0,생수
26884,,,0.0,코카콜라(L)
26885,,,0.0,코카콜라(R)
26886,,,0.0,코카콜라 제로(L)
26887,,,0.0,코카콜라 제로(R)
26888,,,0.0,스프라이트(L)
26889,,,0.0,스프라이트(R)
26890,,,0.0,환타 오렌지(L)
26891,,,0.0,환타 오렌지(R)
26892,,,0.0,미닛메이드 오렌지(350ml PET)
26893,,,0.0,펩시콜라(200ml)
26894,,,0.0,콜라(M)
26895,,,0.0,콜라(L)
26896,,,2.0,오렌지쥬스
26897,,,0.0,스위트칠리소스
26898,,,0.0,허니머스타드드레싱
26899,,,0.0,케첩
26900,,,0.0,딸기잼
26901,,,0.0,버터후레시
26902,,,0.0,살사소스
26903,,,0.0,콜라(M)
26904,,,0.0,콜라-제로(M)
26905,,,0.0,환타 오렌지(M)
26906,,,0.0,환타 포도(M)
26907,,,0.0,환타 파인애플(M)
26908,,,0.0,스프라이트(M)
26909,,,0.0,콜라(L)
26910,,,0.0,콜라-제로(L)
26911,,,0.0,환타 오렌지(L)
26912,,,0.0,환타 포도(L)
26913,,,0.0,환타 파인애플(L)
26914,,,0.0,스프라이트(L)
26915,,,0.0,캔콜라245ml
26916,,,0.0,페트콜라500ml
26917,,,0.0,미닛메이드포도
26918,,,0.0,미닛메이드쿠우오렌지
26919,,,0.0,마테차
26920,,,0.0,생수
26921,,,0.0,오렌지주스
26922,,,0.0,스위트칠리소스
26923,,,1.0,파인요거트소스
26924,,,1.0,리얼갈릭소스
26925,,,0.0,콜라
26926,,,2.0,맵고마소스
26927,,,2.0,양념소스
26928,,,1.0,파인애플&레몬 아이스바
26929,,,0.0,숲의 요정 페어리루 음료 (사과당근)
26930,,,7.0,뚜레쥬르가 만든 검은콩참깨 두유
26931,,,1.0,뚜레쥬르가 만든 유기농 오렌지주스
26932,,,1.0,뚜레쥬르가 만든 유기농 포도주스
26933,,,2.0,뚜레쥬르가 만든 유기농 토마토주스
26934,,,6.0,뚜레쥬르가 만든 신선한우유(200ml)
26935,,,6.0,뚜레쥬르가 만든 신선한우유(500ml)
26936,,,6.0,뚜레쥬르가 만든 신선한우유(1000ml)
26937,,,3.8,뚜레쥬르가 만든 신선한 딸기우유
26938,,,4.2,뚜레쥬르가 만든 신선한 초코우유
26939,,,6.0,뚜레쥬르가 만든 신선한저지방우유
26940,,,0.0,탑클래식(사과)375ml
26941,,,0.0,탑클래식(사과)750ml
26942,,,0.0,탑클래식(포도)375ml
26943,,,0.0,탑클래식(포도)750ml
26944,,,4.0,구미베어 구미젤리
26945,,,4.0,미니믹스 구미젤리
26946,,,3.0,비타민C 자몽젤리
26947,,,0.0,숲의 요정 페어리루 솜사탕 (딸기향)
26948,,,0.0,숲의 요정 페어리루 솜사탕 (포도향)
26949,,,0.0,뚜레쥬르가 만든 딸기잼 120g
26950,,,0.0,뚜레쥬르가 만든 딸기잼 320g
26951,,,0.0,뚜레쥬르가 만든 복숭아잼
26952,,,0.0,뚜레쥬르가 만든 애플시나몬잼
26953,,,0.0,뚜레쥬르가 만든 베리믹스잼
26954,,,0.0,뚜레쥬르가 만든 블루베리잼
26955,,,8.0,버릴스 초콜릿(종합)
26956,,,13.0,버릴스 초콜릿(아몬드)
26957,,,3.0,티라미슈 아몬드 초콜릿 (화이트)
26958,,,4.0,티라미슈 아몬드 초콜릿 (밀크)
26959,,,0.44,웨더스 오리지날 카라멜
26960,,,0.0,웨더스 오리지날 캔디
26961,,,0.0,캐빈디쉬 병캔디(300g)
26962,,,0.0,캐빈디쉬 병캔디(966g)
26963,,,0.0,캐빈디쉬 캔캔디(종합과일)
26964,,,8.0,소프트 초콜릿(밀크)
26965,,,8.0,소프트 초콜릿(다크)
26966,,,0.0,어솔티드 비타민 C 젤리빈
26967,,,2.0,초코 크리스피바
26968,,,0.8,초코찰떡파이 검은깨
26969,,,1.0,딸기 아이스캔디
26970,,,2.0,초코 아이스캔디
26971,,,1.0,멜론 아이스캔디
26972,,,2.0,밀크 아이스캔디
26973,,,3.0,요거트 아이스캔디
26974,,,4.0,팥 아이스캔디
26975,,,1.0,커피 아이스캔디
26976,,,0.3,망고피치 소르베
26977,,,0.0,후르츠믹스 소르베
26978,,,0.0,"터닝메카드음료(사과&배,홍삼)"
26979,,,0.0,"터닝메카드음료(블루베리&포도,홍삼)"
26980,,,4.0,다이노 월드
26981,,,0.0,터닝메카드R 음료 (블루베리)
26982,,,0.0,터닝메카드R 음료 (배)
26983,,,0.0,터닝메카드R 젤리 스트로우
26984,,,6.0,출격! 터닝메카드 R
26985,,,5.0,에반과 테로의 배틀
26986,7.0,8.0,4.0,네이처엠 웰바이츠 견과
26987,15.0,6.0,5.0,닥터넛츠 오리지널뉴
26988,13.0,8.0,6.0,닥터넛츠 프리미엄 골드
26989,14.0,5.0,5.0,모두에견과
26990,5.85,9.27,3.36,미스터너트 NO.7
26991,5.5,10.1,3.0,미스터너트 레드
26992,6.6,12.2,4.4,미스터너트 블루
26993,6.0,10.0,3.0,오'넛츠
26994,10.0,5.0,4.0,오직견과
26995,13.0,5.0,5.0,운동에견과
26996,10.0,5.0,4.0,파란하루E
26997,9.0,5.0,3.0,퓨어넛츠
26998,10.0,9.0,3.0,하루에견과
26999,0.0,12.0,11.0,그리밀 단백질쉐이크 곡물맛
27000,0.0,12.0,11.0,그리밀 단백질쉐이크 단호박맛
27001,0.0,12.0,11.0,그리밀 단백질쉐이크 고구마맛
27002,0.6,12.0,11.0,그리밀 단백질쉐이크 녹차라떼맛
27003,0.0,12.0,11.0,그리밀 단백질쉐이크 딸기라떼맛
27004,0.0,12.0,11.0,그리밀 단백질쉐이크 바나나맛
27005,0.0,12.0,11.0,그리밀 단백질쉐이크 블루베리요거트맛
27006,0.0,12.0,11.0,그리밀 단백질쉐이크 멜론맛
27007,0.0,12.0,11.0,그리밀 단백질쉐이크 초코맛
27008,0.5,12.0,11.0,그리밀 단백질쉐이크 쿠키앤크림맛
27009,0.0,12.0,11.0,그리밀 단백질쉐이크 카페라떼맛
27010,0.0,12.0,11.0,그리밀 단백질쉐이크 바닐라크림맛
27011,0.0,28.0,0.0,펩시콜라
27012,,28.0,,칠성사이다
27013,0.0,28.0,0.0,스프라이트
27014,0.0,30.0,0.0,마운틴듀
27015,14.28,18.36,12.24,건국 닥터유
27016,14.0,17.23,12.92,건국 비타민우유
27017,14.54,17.44,13.56,건국우유
27018,13.86,16.64,12.94,굿포유 우유
27019,15.07,19.38,12.92,롯데슈퍼만의 신선한 우유
27020,15.07,19.38,12.92,롯데슈퍼만의 우유
27021,15.07,19.38,12.92,밀크홀릭 브이플러스
27022,14.38,18.48,12.32,밀크홀릭 우유
27023,14.28,18.36,12.24,비락 참 맛있는 저온살균 우유
27024,14.79,19.01,12.68,신선한 1등급우유
27025,15.07,19.38,12.92,신선함이 가득한 우유
27026,15.07,19.38,12.92,알뜰한 우유
27027,15.21,17.11,11.41,오우유
27028,15.07,19.38,12.92,함박웃음 우유
27029,17.21,17.21,12.91,건국 고칼슘우유 아카데미
27030,8.12,38.68,6.77,건국 다크초코렛 우유
27031,7.74,42.55,7.74,건국 딸기과즙 우유
27032,13.97,17.19,12.9,건국 아이밀크 꼬끼우
27033,13.98,17.21,12.91,건국 오메가 수(秀)
27034,7.75,32.94,6.78,건국 카페라떼 마일드커피
27035,0.0,18.46,11.54,건국 헬스플러스 무지방&칼슘
27036,3.06,19.16,11.5,건국 헬스플러스 저지방&칼슘
27037,7.97,32.3,8.61,검은콩과 선식우유
27038,8.72,42.64,7.75,달콤하고 부드러운 딸기우유
27039,11.54,40.38,6.73,달콤하고 부드러운 초코우유
27040,10.54,32.57,5.75,달콤하고 부드러운 커피우유
27041,8.6,42.02,7.64,딸기우유
27042,17.23,19.38,12.92,롯데슈퍼만의 고칼슘우유
27043,3.08,18.48,12.32,롯데슈퍼만의 저지방우유
27044,11.46,40.12,6.68,부드러운 초콜릿우유
27045,8.6,42.02,7.64,부드럽고 맛있는 딸기우유
27046,11.54,40.38,6.73,부드럽고 맛있는 초코우유
27047,10.54,32.57,5.75,부드럽고 맛있는 커피우유
27048,11.46,40.12,6.68,초코우유
27049,3.7,18.48,11.09,칼슘이 풍부한 저지방우유
27050,13.96,18.25,12.88,활기찬 우유
27051,14.0,19.38,12.92,후토스 우유
27052,2.56,28.79,3.2,비락 비피더스 사과
27053,6.49,38.94,7.21,비락 아사이베리
27054,2.56,28.79,3.2,비피더스 사과
27055,6.54,39.24,7.27,장앤미 사과
27056,6.45,38.68,7.16,장앤미 아사이베리
27057,6.47,38.79,7.18,장앤미 포도
27058,6.49,38.94,7.21,프라임요구르트 사과
27059,6.45,38.68,7.16,프라임요구르트 포도
27060,7.5,9.0,7.0,건국우유
27061,4.0,4.6,3.0,1등급 우유  (롯데 only price 전용)
27062,8.0,9.0,7.0,오 우유
27063,8.0,9.0,6.0,신선함이 가득한 우리우유
27064,7.0,9.0,6.0,건국 닥터유
27065,6.5,8.0,6.0,건국 비타민우유
27066,4.0,4.6,3.0,알뜰한 우유
27067,2.0,4.6,5.4,건국우유 저지방
27068,3.5,4.6,3.0,자연의 순수함을 담은 착한목장
27069,8.0,9.0,6.0,신선함이 가득한 우유
27070,6.5,8.0,6.0,건국 오메가 수
27071,4.0,22.0,4.0,건국 딸기과즙 우유
27072,3.7,15.0,4.0,검은콩과 선식우유
27073,4.5,22.0,3.5,건국 다크초코렛 우유
27074,3.6,8.3,5.4,저지방 우유
27075,2.0,11.5,1.8,깜부의 달콤 초코우유
27076,2.3,11.0,2.0,졸리의 살콤 딸기우유
27077,1.6,18.0,2.0,비피더스 사과
27078,1.6,17.0,25.0,비락 비피더스 사과
27079,7.6,9.2,6.0,건국우유
27080,8.0,9.2,6.0,1등급 우유  (롯데 only price 전용)
27081,7.2,9.2,6.0,오 우유
27082,7.2,9.2,6.0,신선함이 가득한 우리우유
27083,6.7,8.7,5.7,건국 닥터유
27084,6.8,8.3,5.4,건국 비타민우유
27085,8.0,9.2,6.0,알뜰한 우유
27086,4.0,9.2,6.0,건국우유 저지방
27087,7.0,9.2,6.0,자연의 순수함을 담은 착한목장
27088,7.2,9.2,6.0,신선함이 가득한 우유
27089,7.7,8.3,5.4,건국 고칼슘우유 아카데미
27090,6.8,8.3,5.4,건국 오메가 수
27091,6.8,8.3,5.4,건국 아이밀크 꼬끼우
27092,1.4,8.5,5.4,건국 헬스플러스 저지방&칼슘
27093,6.8,8.8,5.4,유산균 우유
27094,2.0,18.0,3.6,검은콩과 선식우유
27095,5.0,24.0,2.6,건국 다크초코렛 우유
27096,3.6,8.3,5.4,저지방 우유
27097,2.5,12.0,1.3,깜부의 달콤 초코우유
27098,4.0,22.0,4.0,졸리의 살콤 딸기우유
27099,0.0,8.3,5.6,건국 헬스플러스 무지방&칼슘
27100,4.5,27.0,5.0,장앤미 아사이베리
27101,0.0,12.0,2.0,비피더스 사과
27102,4.3,25.0,5.0,닥터 위
27103,4.5,27.0,5.0,장앤미 사과
27104,0.0,12.0,2.0,비락 비피더스 사과
27105,2.6,17.0,3.0,닥터 칸
27106,0.0,10.77,1.54,남양 요구르트
27107,0.0,9.0,1.0,남양 이오
27108,0.0,10.0,1.25,남양 이오 사과
27109,2.7,14.0,3.0,남양 자연의 시작 불가리스 딸기
27110,4.0,20.0,5.0,남양 자연의 시작 불가리스 복숭아
27111,,,,athome오렌지100%
27112,0.0,7.56,0.36,남양 유기농 쌀과자 아기꼬야 12개월부터 산들촌
27113,0.0,7.56,0.36,남양 유기농 쌀과자 아기꼬야 7개월부터 산들촌
27114,0.0,6.84,0.68,아기꼬야 유기농 오곡
27115,0.0,6.84,0.61,아기꼬야 유기농 우리쌀
27116,0.0,7.56,0.36,유기농 쌀과자 아기꼬야 12개월부터 산들촌
27117,0.0,7.56,0.36,유기농 쌀과자 아기꼬야 바다 12개월부터 산들촌
27118,0.0,7.56,0.36,유기농 쌀과자 아기꼬야 바다 7개월부터 산들촌
27119,13.0,73.0,3.0,남양 핫초코 모카
27120,13.0,73.0,3.0,남양 핫초코 오리지날
27121,0.0,52.0,2.0,과수원 살구
27122,8.0,69.0,16.0,스텝 리전트1
27123,9.0,66.0,18.0,스텝 리전트2
27124,9.0,64.0,20.0,스텝 리전트3
27125,8.0,69.0,16.0,스텝 엄선1
27126,9.0,66.0,18.0,스텝 엄선2
27127,9.0,64.0,20.0,스텝 엄선3
27128,27.4,55.4,12.5,아기 사랑1
27129,26.2,55.2,13.6,아기 사랑2
27130,24.7,53.1,16.5,아기 사랑3
27131,23.0,51.2,19.5,아기 사랑4
27132,27.0,55.8,12.5,임페리얼 에스1
27133,26.0,55.4,13.7,임페리얼 에스2
27134,24.5,53.2,16.8,임페리얼 에스3
27135,23.2,50.7,19.8,임페리얼 에스4
27136,9.2,66.0,17.0,호프닥터
27137,25.8,53.0,15.5,호프알레기
27138,3.0,12.0,4.0,불가리스 딸기
27139,0.0,38.25,2.25,요구르트
27140,0.0,33.75,4.5,E-5
27141,2.5,17.0,4.0,꼬모 딸기
27142,2.5,17.0,4.0,꼬모 복숭아
27143,4.5,38.25,9.0,꼬모 포도
27144,3.0,16.0,4.0,불가리스 사과
27145,3.0,16.0,4.0,불가리스 포도
27146,1.0,0.08,0.8,로젠하임치즈1
27147,1.0,0.08,0.8,로젠하임치즈2
27148,0.92,0.08,0.76,아인슈타인 어린이치즈
27149,140.0,13.6,8.8,크림
27150,0.0,372.0,0.0,남양 아이스티 레몬맛
27151,0.0,372.0,0.0,남양 아이스티 복숭아맛
27152,0.0,372.0,0.0,남양 아이스티 블루베리맛
27153,4.17,28.85,3.2,남양 티오레 우일음료
27154,0.0,0.0,0.0,내몸을 깨워주는 시간 17차
27155,0.0,0.0,0.0,맑은숨 오리엔탈
27156,0.0,0.0,0.0,몸이 가벼워지는 시간 17차 오리진
27157,0.0,0.0,0.0,몸이 맑아지는 시간 17차
27158,0.0,32.0,0.0,속편한 아침꿀물
27159,5.07,35.35,5.53,티오레 서울F&B
27160,0.0,40.0,4.0,써핑쿨 복숭아/파인애플
27161,1.6,12.7,3.1,웨슬리 쵸코렛드링크
27162,1.6,36.0,2.4,웨슬리 커피드링크
27163,1.2,11.5,0.0,프렌치카페 아이스
27164,2.8,35.6,3.2,프렌치카페 헤즐넛
27165,0.0,18.0,0.0,at home 복숭아속살
27166,0.0,88.0,4.0,at home 오렌지 100
27167,0.0,120.0,0.0,at home 포도 100
27168,0.0,48.0,0.0,갈아담은 유기농과일 아기꼬야 사과배
27169,0.0,48.0,0.0,갈아담은 유기농과일 아기꼬야 사과오렌지망고
27170,0.0,76.0,0.0,남양 at home 망고
27171,0.0,72.0,0.0,남양 at home 매실
27172,0.0,10.0,0.0,남양 at home 복숭아속살
27173,0.0,88.0,0.0,남양 at home 사과
27174,0.0,68.0,0.0,남양 at home 알로에
27175,0.0,12.0,1.0,남양 at home 오렌지
27176,0.0,72.0,0.0,남양 at home 제주감귤
27177,0.0,68.0,4.0,남양 at home 토마토
27178,0.0,104.0,0.0,남양 at home 포도
27179,0.0,45.0,0.0,남양 알로에 생
27180,0.0,68.0,0.0,알로에 생
27181,5.0,12.0,4.0,남양 맛있는 두유 GT 고소한 검은콩
27182,6.5,13.0,5.0,남양 맛있는 두유 GT 고소한 검은콩깨
27183,6.0,11.0,5.5,남양 맛있는 두유 GT 순한맛
27184,12.48,27.04,12.48,남양 맛있는 두유 고칼슘 검은콩깨
27185,14.45,22.7,12.38,남양 맛있는 두유 담백한맛
27186,10.95,30.65,10.95,맛있는 두유 GT 검은콩+17곡
27187,6.5,12.0,5.5,맛있는 두유 GT 달콤한맛
27188,13.04,23.9,11.95,맛있는 두유 GT 담백한맛
27189,13.1,26.2,10.92,맛있는 두유 GT
27190,7.76,33.32,10.0,맛있는두유GT키즈
27191,7.0,11.0,6.0,진콩두유
27192,0.0,29.25,0.0,남양 산삼배양근 백년산삼
27193,0.0,36.0,0.0,남양 특 발효홍삼
27194,0.0,124.0,4.0,What`s와츠 상일
27195,0.0,23.32,0.0,남양 아기꼬야 이온케어
27196,27.0,52.0,15.0,남양 미숙아분유
27197,12.0,1.0,2.0,남양 케토니아
27198,9.0,64.0,17.0,남양 호프닥터
27199,24.0,51.0,12.0,남양 호프알레기 1
27200,21.0,50.0,18.0,남양 호프알레기 2
27201,3.2,26.0,6.0,남양키플러스 고소한맛
27202,9.4,68.8,12.5,남양키플러스 코코아
27203,20.71,57.14,15.71,마더스오가닉 3
27204,20.0,55.71,17.86,마더스오가닉 4
27205,20.71,57.14,15.71,모성이 빛나는순간 아이엠마더 3
27206,20.0,55.71,17.86,모성이 빛나는순간 아이엠마더 4
27207,0.0,12.0,0.0,아기꼬야 유기농베이비주스 사과배
27208,0.0,48.0,0.0,아기꼬야 유기농베이비주스 종합과일
27209,20.71,57.14,15.71,임페리얼드림 XO World Class 3
27210,20.0,55.71,17.86,임페리얼드림 XO World Class 4
27211,3.3,9.0,3.3,한뼘더 큰 아기랑콩이랑 1
27212,3.0,9.0,3.7,한뼘더 큰 아기랑콩이랑 2
27213,0.38,7.5,1.25,남양 맘스쿠킹 닭가슴살과 당근 영양쌀죽
27214,3.75,8.12,1.25,남양 맘스쿠킹 양송이와 연어크림 영양쌀죽
27215,1.88,8.12,1.25,남양 맘스쿠킹 전복과 표고버섯 영양쌀죽
27216,0.5,7.5,1.25,남양 맘스쿠킹 한우쇠고기와 감자 영양쌀죽
27217,2.25,8.75,1.62,남양 맘스쿠킹 한우쇠고기와 두부 영양쌀죽
27218,1.88,8.12,1.5,남양 맘스쿠킹 한우쇠고기와 양송이 영양쌀죽
27219,5.0,80.0,5.0,남양 명품유기농 엄마의작품 12개월 이후
27220,5.0,80.0,6.67,남양 명품유기농 엄마의작품 6개월 이후
27221,5.0,80.0,5.0,남양 명품유기농 엄마의작품 9개월 이후
27222,0.6,1.07,0.8,남양 드빈치 치즈콤비
27223,0.28,1.47,0.8,남양 드빈치 치즈콤비 까망베르
27224,0.0,85.0,2.5,남양 불가리스 요거트파우더
27225,7.2,24.0,14.4,3번 더 좋은 우유
27226,16.0,20.0,12.0,남양 맛있는 우유 GT 프리미엄
27227,4.0,20.0,12.0,남양 맛있는우유 GT 저지방
27228,3.6,4.5,3.0,맛있는 우유 GT
27229,16.0,20.0,12.0,맛있는 우유 GT 유기농
27230,4.0,20.0,12.0,맛있는 우유 GT 저지방 고칼슘
27231,3.5,4.5,3.0,아인슈타인 베이비
27232,4.0,4.5,3.0,글루코사민 우유
27233,15.0,2.7,90.0,깜유
27234,2.3,20.0,4.0,남양 프렌치카페 더블샷 라떼
27235,4.2,40.08,7.63,남양 프렌치카페 더블샷 카라멜마키아또
27236,16.0,20.0,12.0,남양 VIP 비타민 우유
27237,4.58,42.75,7.63,남양 더블샷 라떼
27238,3.97,42.75,7.63,남양 더블샷 모카
27239,4.12,41.22,7.63,남양 더블샷 카라멜 마키아또
27240,6.0,40.0,10.0,남양 맛있는 우유 딸기
27241,0.0,20.0,12.0,남양 맛있는우유 GT 무지방
27242,16.0,46.0,10.0,남양 칼로리를 뺀 진짜 바나나과즙 우유
27243,6.4,44.0,8.0,남양 민트초코 라떼
27244,7.6,34.0,10.0,논산딸기가 든 1등급 우유
27245,7.8,50.0,8.0,다방커피 우유
27246,21.0,4.1,85.0,딸기에몽
27247,8.6,38.0,8.0,마끼아또 커피가 든 1등급우유
27248,8.0,42.0,10.0,맛있는우유 쵸코
27249,9.6,36.0,8.0,맛있는우유 커피
27250,6.4,20.0,12.0,맛있는우유GT 저지방로우
27251,8.6,32.0,8.0,모카치노 커피가 든 1등급 우유
27252,7.2,32.0,10.0,벨기에 초콜렛이 든 1등급우유
27253,6.0,40.0,10.0,신선한 딸기우유
27254,7.6,36.0,10.0,신선한 초코우유
27255,9.6,36.0,8.0,신선한 커피우유
27256,5.8,9.0,6.0,아인슈타인 Kids
