,DESC_KOR,NN,category
4812,버터 카야 토스트,버터,61
4813,카야토스트,카야,0
4814,블루베리 토스트,블루베리,7
4815,크림치즈 프레즐,nan,0
4816,스낵의 정석(오리지널),스낵,263
4817,스낵의 정석(그린애플),스낵,263
4818,더치커피(에티오피아 예가체프),더치,0
4819,더치커피(케냐AA),더치,0
4820,더치커피(에티오피아 예가체프),더치,0
4821,더치커피(케냐AA),더치,0
4822,오리지널 핫도그,핫도그,110
4823,어니언 핫도그,어니언,226
4824,렐리쉬 핫도그,레,24
4825,화이트 렐리쉬 핫도그,화이트,50
4826,할리피뇨치즈 핫도그,리피,0
4827,시카고 핫도그,시카고,0
4828,칠리치즈 핫도그,칠리,235
4829,튜나마요 핫도그,핫도그,110
4830,페퍼로니 핫도그,페퍼로니,287
4831,어니언링 핫도그,어니언,226
4832,스파이스치킨 핫도그,스파,0
4833,치즈불고기 핫도그,치즈,3
4834,고르곤졸라 핫도그,고르곤졸라,0
4835,치킨텐더 핫도그,치킨,12
4836,아메리카노 HOT,아메리카노,279
4837,아메리카노 ICE,아메리카노,279
4838,카페라떼 HOT,nan,0
4839,카페라떼 ICE,nan,0
4840,카페모카 HOT,카페모카,278
4841,카페모카 ICE,카페모카,278
4842,카라멜모카 HOT,카라멜,59
4843,카라멜모카 ICE,카라멜,59
4844,카라멜라떼 HOT,카라,0
4845,카라멜라떼 ICE,카라,0
4846,카라멜마끼아또 HOT,카라멜,59
4847,카라멜마끼아또 ICE,카라멜,59
4848,카푸치노 HOT,카푸치노,211
4849,카푸치노 ICE,카푸치노,211
4850,초코라떼 HOT,초코,2
4851,초코라떼 ICE,초코,2
4852,바닐라카페라떼 HOT,바닐라,38
4853,바닐라카페라떼 ICE,바닐라,38
4854,그린티라떼 HOT,그린,49
4855,그린티라떼 ICE,그린,49
4856,블랙빈 라떼 HOT,블랙,54
4857,블랙빈 라떼 ICE,블랙,54
4858,딸기 스무디,딸기,5
4859,키위 스무디,키위,0
4860,망고 스무디,망고,39
4861,블루베리 스무디,블루베리,7
4862,버터갈릭 포테이토 S,버터,61
4863,버터갈릭 포테이토 L,버터,61
4864,치즈갈릭 포테이토 S,릭,76
4865,치즈갈릭 포테이토 L,릭,76
4866,오리지널 포테이토 S,테이,125
4867,오리지널 포테이토 L,테이,125
4868,고르곤졸라 포테이토 S,고르곤졸라,0
4869,고르곤졸라 포테이토 L,고르곤졸라,0
4870,칠리치즈 포테이토 S,칠리,235
4871,칠리치즈 포테이토 L,칠리,235
4872,사워크림 포테이토 S,림,0
4873,사워크림 포테이토 L,림,0
4874,스위트 칠리 포테이토 S,칠리,235
4875,스위트 칠리 포테이토 L,칠리,235
4876,할라치뇨치즈 포테이토 S,할라,0
4877,할라치뇨치즈 포테이토 L,할라,0
4878,어니언 포테이토 S,어니언,226
4879,어니언 포테이토 L,어니언,226
4880,치즈시즈닝 포테이토 S,테이,125
4881,치즈시즈닝 포테이토 L,테이,125
4882,허니버터 시즈닝 포테이토 S,허니,55
4883,허니버터 시즈닝 포테이토 L,허니,55
4884,오렌지에이드,오렌지,43
4885,레몬에이드,레몬,26
4886,자몽에이드,에이드,294
4887,청포도 에이드,청포도,117
4888,치즈스틱 S,치즈스틱,0
4889,치즈스틱 L,치즈스틱,0
4890,미니츄러스 S,nan,0
4891,미니츄러스 L,nan,0
4892,어니언링 S,어니언,226
4893,어니언링 L,어니언,226
4894,치킨텐더 S,치킨,12
4895,치킨텐더 L,치킨,12
4896,크림치즈 프레즐,nan,0
4897,벨지움 와플,벨지움,0
4898,플레인 베이글,플레인,40
4899,콘덕(오리지널/체다치즈),콘,58
4900,페퍼소시지,페퍼,0
4901,흑당소보루,당,0
4902,자꾸 생각나는 갈릭바게뜨,릭,76
4903,쫄깃한 왕꽈배기,nan,0
4904,흑당 가득 품은 호떡,호떡,265
4905,베사멜버섯치즈빵,멜,0
4906,새우감자봉,새우,20
4907,썸머 초코바나나번,초코바나나,0
4908,토종효모 참 고소한 곡물식빵,효모,0
4909,토종효모 호두브레드,효모,0
4910,강원도 찰옥수수소보루크림빵,강원도,0
4911,초코 왕소라빵 플러스,초코,2
4912,미니 통밀후르츠 브레드,미니,4
4913,토종효모 참깨브레드,효모,0
4914,단팔 소보루빵 플러스,단파,0
4915,달콤한 꿀도넛,도넛,0
4916,시나몬롤식빵,시나,202
4917,미니 올리브 브레드,미니,4
4918,블루베리파이,블루베리,7
4919,후레쉬크림샌드빵,크림,28
4920,무설탕 멀티그레인 토스트,설탕,243
4921,크림치즈시나몬롤,시나,202
4922,골든스윗토스트,nan,0
4923,꽃맛살고로케,고로케,0
4924,꿀슈크림빵,슈크림,0
4925,명품 잡채고로케,잡채,0
4926,몬스터 치즈번,몬스터,300
4927,찰진 호박 찜케익,호박,8
4928,64겹 골든페스츄리,nan,0
4929,쫄깃한 토종효모빵(미니),효모,0
4930,오리엔탈 치킨봉,오리,0
4931,토종효모 통밀가득 로만밀브레드,효모,0
4932,크림치즈롤파이,파이,0
4933,모닝바게뜨,모닝,118
4934,미니크라상,nan,0
4935,쫄깃한 토종효모빵,효모,0
4936,옛날 왕슈크림도넛,왕슈,0
4937,건포도 토종효모빵,건포도,0
4938,토종효모 참 부드러운 생크림 식빵,효모,0
4939,호밀호두빵(대),호밀,0
4940,토종효모 건강한 로만밀 클래식,효모,0
4941,포켓샌드 사과,포켓,270
4942,토종효모 쫄깃한 토스트,효모,0
4943,그린티 본델리슈,그린,49
4944,쫄깃한 피자빵,피자,70
4945,뽀드득 그릴 소시지,그릴,170
4946,치즈파니니,치즈,3
4947,촉촉함을 담은 쫄깃한 식빵,식빵,155
4948,담백하고 쫄깃한 뜯어먹는 식빵,식빵,155
4949,돌돌 말린 소시지도넛,소시지,139
4950,플레인 베이글,플레인,40
4951,데니쉬식빵,nan,0
4952,스위트 밀크식빵,밀크,25
4953,모닝토스트,모닝,118
4954,야채빵,nan,0
4955,사각피자빵,사각,0
4956,찹쌀도넛,찹쌀,126
4957,모찌모찌 치즈스틱,모찌,0
4958,크림치즈찹쌀도넛,찹쌀,126
4959,아몬드모닝,아몬드,32
4960,오리지널머핀,머핀,0
4961,진도해풍맞은쑥빵,진도,0
4962,토종효모 순수(秀)담백,효모,0
4963,정통크라상,nan,0
4964,블루베리머핀,블루베리,7
4965,토종효모 그대로토스트,효모,0
4966,강원도 옥수수로 만든 옥수수빵,강원도,0
4967,찹쌀페스츄리도넛,nan,0
4968,크림치즈곡물페스츄리,nan,0
4969,소시지조리빵,소시지,139
4970,블루베리베이글,블루베리,7
4971,꽈배기도넛,도넛,0
4972,치즈 인 치즈,치즈,3
4973,촉촉한 치즈케익,치즈,3
4974,통곡물브레드,곡물,124
4975,토종효모 우리쌀 식빵,효모,0
4976,초코칩트위스트,초코,2
4977,미니 통밀 후르츠 브레드,미니,4
4978,토종효모 호두 호밀식빵,효모,0
4979,바게뜨,nan,0
4980,미니찹쌀도넛,미니,4
4981,블루베리크림치즈페스츄리,nan,0
4982,별난고구마찰스틱,고구,0
4983,크로크무슈,nan,0
4984,토종효모 단호박검은깨식빵,효모,0
4985,토종효모 옥수수 식빵,효모,0
4986,초코츄잉스타,nan,0
4987,미니초코칩트위스트,미니,4
4988,햄에그 고로케,에그,69
4989,초코소보루빵,초코,2
4990,목초란으로 만든 핑거스틱,란,0
4991,추억의 소시지빵,추억,196
4992,쏘야고로케,nan,0
4993,단팥크림 코팡,크림,28
4994,144겹 파이만주,파이,0
4995,까망베르 치즈후레쉬번,베르,0
4996,치즈소시지페스츄리,nan,0
4997,갈릭페스츄리식빵,nan,0
4998,부드러운 연유브레드,연유,0
4999,딸기에 물든 치즈달,딸기,5
5000,순수秀우유크림빵,순수,137
5001,포켓샌드딸기요거티,포켓,270
5002,포켓샌드 땅콩,포켓,270
5003,고구마건포도롤,고구마,6
5004,크림치즈호두빵,호두,81
5005,밤롤브레드,브레드,0
5006,진한 초코브레드,진한,63
5007,커피번,커피,84
5008,쫀득쫀득한 찰깨빵,nan,0
5009,우리찹쌀 모카 찰떡빵,우리,36
5010,구름크림빵,구름,0
5011,모카빵,모카,123
5012,초코소라빵,초코,2
5013,땅콩크림빵,땅콩,57
5014,모카크림빵,모카,123
5015,한입에두번반한 단팥크림빵,반하,0
5016,단팥빵,단팥빵,262
5017,소보루빵,보루,0
5018,골든 크림 메론빵,크림,28
5019,순수(秀) 우유 후레쉬번,순수,137
5020,맘모스브레드,모스,0
5021,구운부추만두빵,부추,0
5022,단팥빵 플러스,단팥빵,262
5023,쫄깃한 곡물 호떡,곡물,124
5024,상큼한 크림빵,크림,28
5025,화이트 치즈볼,화이트,50
5026,바나나 컵케익,바나나,51
5027,슈크림빵,슈크림,0
5028,완두앙금빵,완두,0
5029,찹쌀앙금빵,찹쌀,126
5030,코코넛 초코볼,코코넛,66
5031,쫄깃한 찰떡맘모스,모스,0
5032,카스테라구마,카스,172
5033,스트로베리 요거트무스,스트로,87
5034,스트로베리 요거트무스 케이크,스트로,87
5035,상큼한 청포도 케이크,청포도,117
