,DESC_KOR,NN
71984,반)PB바닐라마카롱,바닐라
71985,반)PB 블루베리 마카롱,블루베리
71986,반)PB유자마카롱,유자
71987,반)PB바닐라카라멜마카롱,바닐라
71988,PB블루마카롱(제품제조용),블루
71989,건포도토종효모빵용 빵,건포도
71990,바삭 치즈볼,치즈볼
71991,소프트에그타르트,소프트
71992,쫄깃한토종효모빵용 빵,효모
71993,쫄깃한토종효모빵용 빵(미니),효모
71994,콰트로 치즈 타르트,콰트로
71995,호두 듬뿍 타르트,호두
71996,요구르트 아이스 펭바,요구르트
71997,파인깔라만시 아이스캔디,파이
71998,몰테져스,nan
71999,밀키웨이 펀사이즈,밀키웨이
72000,멀티그레인브로첸,멀티
72001,베이글,베이글
72002,브레드볼,브레드
72003,브로첸,브로
72004,브리오슈,브리오슈
72005,오븐꽈배기,오븐
72006,올리브 치아바타,올리브
72007,치아바타,치아바타
72008,핫도그번,핫도그
72009,햄버거번,햄버거
72010,고고한 칡 생30,nan
72011,고고한 오렌지,오렌지
72012,고고한 석류,nan
72013,로우 오렌지주스,로우
72014,로우 자몽주스,로우
72015,하랑애 ABC주스,랑
72016,추억의쫀드기,추억
72017,나탈리스 라임주스(250ml),탈리스
72018,나탈리스 레몬에이드 티(1L),탈리스
72019,나탈리스 블러드 오렌지 주스(1L),탈리스
72020,나탈리스 스트로베리 레몬에이드(1L),탈리스
72021,나탈리스 오렌지 파인애플 주스(1L),탈리스
72022,나탈리스 자몽 주스(1L),탈리스
72023,쥬시스 오렌지 위드 애플베이스(105ml),시스
72024,쥬시스 트로피칼(105ml),시스
72025,고구마치즈 만난 감자핫도그,고구마
72026,국민간식핫도그,간식
72027,도깨비핫도그,도깨비
72028,두물머리 가파도 청보리 우리쌀 연잎핫도그,두물머리
72029,두물머리 연잎핫도그,두물머리
72030,두물머리 점보 연잎핫도그,두물머리
72031,두물머리 큐브 감자 연잎핫도그,두물머리
72032,딸기머핀치즈만도그,딸기
72033,딸기머핀핫도그,딸기
72034,새싹귀리 츄러스 스틱,귀리
72035,오레오쿠키 우리밀 블랙까몬 츄러스링,오레오
72036,치즈가 쭉 늘어나는 프리미엄vvip 두물머리 연잎핫도그,치즈
72037,치즈만도그,치즈
72038,기정,nan
72039,비엔나카페 커피 크래커,비엔나
72040,자일리톨하트모양캔디,자일리톨
72041,구운코코넛칩,코코넛
72042,유로브랜드 퍼프케이크 앤스위트바나나크림,유로
72043,커스터드케이크,커스터드
72044,핫피자맛볼,핫피
72045,치즈스타,치즈
72046,초코스타,초코
72047,부드러운아침의느낌,아침
72048,약과도넛,약과
72049,약과처럼도넛처럼,약과
72050,추억의도나스,추억
72051,한과도넛츠,nan
72052,초코리얼스타,초코
72053,달콤한 초코별,초코
72054,콘초코클래식,콘
72055,초코리얼 티라미슈,초코
72056,치즈썸,nan
72057,초코크런치,초코
72058,치즈퐁듀,nan
72059,스윗팝초코,nan
72060,화이트초코렛타,nan
72061,초코리얼 치즈,초코
72062,초코리얼 화이트,초코
72063,초코썸,nan
72064,부드러운리얼티라미슈큐브,nan
72065,그롤쉬 넌 알콜릭,넌
72066,객 주스,주스
72067,오지 블록캔디,블록
72068,마차 로키 로드 아이스크림,마차
72069,바닐라 아이스크림,바닐라 아이스
72070,비건 초콜릿 청크,초콜릿
72071,비건 코코넛 카라멜 칩,코코넛
72072,스프링클스 아이스크림,아이스크림
72073,익조틱 프루츠 소르베,조
72074,초코토르타 아이스크림,초코
72075,초콜릿 크런치 아이스크림,초콜릿
72076,커피 크런치 아이스크림,커피
72077,쿠키스앤크림 아이스크림,쿠키스
72078,쿠키앤민트 아이스크림,쿠키
72079,피넛 버터 스모어 아이스크림,버터
72080,피넛버터 앤 젤리 아이스크림,앤
72081,비넛 퓨어 노니주스,퓨어
72082,메디타민스노우셀,디
72083,두알톡톡보스웰리아,알
72084,프로틴365정,정
72085,신데렐라호박마차,신데렐라
72086,반코아미능,코아
72087,쏘머 내츄럴스 브렉퍼스트 스무디,스무디
72088,쏘머 내츄럴스 비트루트 선라이즈,비트
72089,쏘머 내츄럴스 치키체리,키
72090,쏘머 내츄럴스 키위 스트로베리,키위
72091,쏘머 내츄럴스 패션 트위스트,패션
72092,이프 코코넛 워터,이프
72093,이프 코코넛 워터 위드 코코넛펄프,이프
72094,파파웰 타트체리 주스,주스
72095,에이펙셀부추칼슘제리,펙
72096,구테 크래커,크래커
72097,홍삼미니와플,홍삼
72098,호박맛쫀디기,호박
72099,호박맛조아쫀디기,호박
72100,한입15곡물쫀디기,곡물
72101,추억의쫀디기,추억
72102,종합전병,전병
72103,와플전병,와플
72104,밤꿀맛쫀디기,꿀맛
72105,미니보리와플,미니
72106,16곡물쫀디기,곡물
72107,슈퍼포션곤약쫀드기,슈퍼
72108,슈퍼포션 매운맛 쫀드기,슈퍼
72109,미니꽈배기,미니
72110,닭다리쿡,nan
72111,추억의마블사탕,추억
72112,핫빠이스낵,빠이
72113,핫꼬불이스낵,이
72114,추억의꽈배기,추억
72115,추억의꺼벙이,추억
72116,은하철도999스낵,은하
72117,왕소라형스낵,소라
72118,왕고구마형스낵,왕고
72119,오란다기지,오란다
72120,생강맛스낵,생강
72121,바베큐맛 스낵,스낵
72122,김맛나스낵,김
72123,뿅가네스낵,스낵
72124,번데기형스낵,번데기
72125,망고피자,망고
72126,쉬림프갈릭피자,nan
72127,진경여행라면 얼큰한맛,진경
72128,뉴욕치즈타르트,뉴욕
72129,당근케이크,당근
72130,더블치즈케이크,더블
72131,떠먹는 로투스치즈케이크,nan
72132,떠먹는 보성말차티라미수,보성
72133,떠먹는 티라미수,티라미수
72134,라즈베리더블치즈케이크,라즈베리
72135,리얼쇼콜라타르트,리얼
72136,말차가또쇼콜라,말차
72137,밀크카라멜케이크,밀크
72138,밀크티가또쇼콜라,밀크티
72139,번트치즈케이크,번트
72140,부드러운크림가득카스테라,크림
72141,브라우니,브라우니
72142,오레오우유케이크,오레오
72143,오페라케이크,오페라
72144,티라미수,티라미수
72145,한라봉홍차케이크,홍차
72146,쵸코칩쿠키(상온),nan
72147,초코쿠키,초코
72148,단팥빵,단팥빵
72149,녹차식빵,녹차
72150,롤케익,nan
72151,모닝빵,모닝
72152,모카빵,모카
72153,바게트,바게트
72154,밤식빵,식빵
72155,버터크림빵,버터크림
72156,샤브랑,nan
72157,쏘시지피자빵,nan
72158,잡곡롤빵,잡곡
72159,쵸코머핀,nan
72160,치즈롤빵,치즈
72161,파운드케익,파운드
72162,호기빵,nan
72163,호밀브래드,호밀
72164,치즈쿠키,치즈
72165,참깨전병,참깨
72166,종합전병,전병
72167,아몬드쿠키,아몬드
72168,땅콩전병,땅콩
72169,다시마두부과자,다시마
72170,찹쌀전병,찹쌀
72171,그랑프리,그랑프리
72172,단호박 타르트,호박
72173,당근케이크,당근
72174,레드벨벳케이크(가열하지 않고 섭취하는 냉동식품),레드벨벳
72175,마카다미아 치즈 케이크,마카다미아
72176,아란시아,시아
72177,라이징 고구마피자,이징
72178,라이징 콤비네이션피자,이징
72179,라이징 페파로니피자,이징
72180,라이징 포테이토피자,이징
72181,라이징 핫치킨피자,이징
72182,애슐리 고구마 딥디쉬피자,애슐리
72183,애슐리 시카고 딥디쉬피자,애슐리
72184,애슐리 치즈 포테이토 딥디쉬피자,애슐리
72185,페파로니피자,nan
72186,차가노니,가노
72187,석류노니,노니
72188,로얄통가노니365,통가
72189,트리콜라겐몽크비타,트리
72190,아임더닥터 맥주효모 비오틴,임
72191,콜라겐 바다,콜라겐
72192,엘아르기닌맥스2000,엘
72193,롱키원(노랑),nan
72194,롱키원(빨강),nan
72195,보이차에 쏙 빠진 하루,보이차
72196,멜바 토스트 비스켓,멜
72197,파스텔 드 나타 초콜렛,파스텔 드 나타
72198,나바티 초코크림 웨이퍼,바티
72199,나바티 치즈크림 웨이퍼,바티
72200,프레시오늘 국내산 마늘로 만든 바삭고소 마늘러스크,마늘
72201,따순기미 따순고구마,순
72202,따순기미 바삭촉촉 마늘스틱,순
72203,따순기미 수박식빵,순
72204,"따순기미 프랑스 밀, 버터로 만든 프랑스식빵",순
72205,프레시오늘 Since 2008년 배양 깊은풍미 효모 몽블랑,효모
72206,프레시오늘 국내산 마늘로 만든 (大)육쪽마늘빵,마늘
72207,미니 오레오 바닐라향,미니
72208,미니 오레오 초콜릿맛,미니
72209,프레디 부온돌체 초코허니,프레디
72210,프레디 부온돌체 후레시 밀크,프레디
72211,알떡 쌀과자,과자
72212,행복이든 비트사과즙,행복
72213,강릉커피땅콩빵,강릉
72214,연세우유 비타민플러스,연세
72215,연세대학교 저지방+고칼슘우유,연세대학교
72216,연세대학교 연세우유 골드플러스 RT,연세대학교
72217,프리미엄 골드 키즈,프리미엄
72218,바나나 우유,바나나
72219,곰곰 바나나우유,바나나
72220,연세우유 고소한1급A 우유,연세
72221,연세대학교 목장우유,연세대학교
72222,연세대학교 자녀사랑 키짱 전용목장,연세대학교
72223,연세 마카다미아초코우유,연세
72224,가나 초콜릿밀크,가나 초콜릿
72225,파스퇴르우유 바나나,파스퇴르
72226,파스퇴르우유 딸기,파스퇴르
72227,연세대학교 바나나퐁당,연세대학교
72228,Homeplus signature 1A 저지방 고칼슘우유,지방
72229,16곡 꿀 선식 우유,우유
72230,등교전 오트밀우유,전
72231,곰곰 초코우유,초코
72232,연세우유 마카다미아초코맛,연세
72233,연세우유 바나나맛,연세
72234,연세대학교 연세 바나나우유,연세대학교
72235,초코우유,초코
72236,연세딸기우유(멸균),연세
72237,바나나우유,바나나
72238,연세우유 딸기맛,연세
72239,연세우유 멜론맛,연세
72240,1A 멸균 우유 바나나,우유
72241,자일리톨함유 세요,자일리톨
72242,키짱 yogurt,nan
72243,캐리와장난감친구들요구르트,캐리
72244,비락 위요,비락
72245,세브란스 위락,세브란스
72246,세브란스 프로바이오틱스 오메가3,세브란스
72247,세브란스 프로바이오틱스 위Y,세브란스
72248,연세대학교 오메가3,연세대학교
72249,스위플,nan
72250,후레쉬 애플,애플
72251,스위플 오렌지,오렌지
72252,돌 망고,돌
72253,돌 스위티오 파인애플,돌
72254,런닝맨 유산균음료 블루베리,런닝맨
72255,스위플 레드오렌지,레드
72256,연꿀빵,nan
72257,철원순쌀와플,철원
72258,철원순쌀커피콩빵,철원
72259,철원순쌀호두과자,철원
72260,철원순쌀호두과자(냉동제품),철원
72261,빙당설리,당
72262,홍차맛 음료(500ml),홍차
72263,활기찬 하루를위해 홍삼벵이 진액,nan
72264,감귤쪼옥,nan
72265,포도쪼옥,nan
72266,굿모닝,굿모닝
72267,우리통밀로만든모닝퐁,nan
72268,오곡퐁,nan
72269,찰옥수수퐁,nan
72270,아이배냇 꼬마 곡물조아퐁,꼬마
72271,통밀퐁,nan
72272,우리밀통밀퐁,nan
72273,견과바,견과
72274,순수 유기농 배즙,순수
72275,순수 오디즙,순수
72276,유기농포도즙,유기농
72277,히비스커스 석류즙,nan
72278,유기농석류즙,유기농
72279,더진한순수한석류,진한
72280,신이내린최고의선물아로니아즙,최
72281,써니힐애플주스,써니힐
72282,양배추사과즙,양배추
72283,아빠의주스 배,nan
72284,아빠의주스 사과,사과
72285,너하나면돼 빨간사과,사과
72286,너하나면돼 비트사과,비트
72287,맛나유 플레인요거트,맛나
72288,맛나유 유자요거트,맛나
72289,맛나유 딸기요거트,맛나
72290,맛나유 블루베리요거트,맛나
72291,옥삐골 사과즙,nan
72292,애쁘레,nan
72293,발아통밀 크랜베리호두스콘,발아
72294,발아통밀쿠키,발아
72295,발아통밀초코쿠키,발아
72296,발아통밀 커피스콘,발아
72297,발아통밀단팥크림빵,발아
72298,발아통밀팥빵,발아
72299,발아통밀견과빵,발아
72300,발아통밀모닝빵,발아
72301,발아통밀버터크림빵,발아
72302,발아통밀베이글,발아
72303,발아통밀사각식빵,발아
72304,발아통밀식빵,발아
72305,리얼푸드 토마토,리얼
72306,현미두부과자,현미
72307,우리밀치즈쿠키,우리
72308,마더스콘,마더
72309,땅콩버터쿠키,땅콩
72310,초코칩쿠키,초코
72311,초석잠쿠키,쿠키
72312,청국장쿠키,청국장
72313,쌀쿠키,쿠키
72314,생강쌀쿠키,생강
72315,단팥빵,단팥빵
72316,고구마크림치즈빵,고구마
72317,단호박카스테라,호박
72318,댕기머리쑥이빵,댕기
72319,롤케익,nan
72320,부추빵,부추
72321,블루베리빵,블루베리
72322,소보루,보루
72323,쌀나라카스테라,나라
72324,쌀모닝빵,모닝
72325,쌀모카빵,모카
72326,쌀식빵,식빵
72327,한입에쏘옥 망고젤리,망고
72328,한입에쏘옥 파인애플젤리,파인애플
72329,한입에쏘옥 포도젤리,포도
72330,한입에쏘옥 감귤젤리,젤리
72331,몸애쏙쏙 유기농호박즙,유기농
72332,몸애쏙쏙 유기농양배추브로콜리즙,유기농
72333,더 밥 잘먹는 아이홍삼(파인애플),홍삼
72334,더 밥 잘먹는 아이홍삼(오렌지),홍삼
72335,몸애수호어린이홍삼배도라지,애수
72336,평촌요구르트,평촌
72337,영주 요거트,영주
72338,자색고구마과자,고구마
72339,감귤과자,과자
72340,싱싱골드65℃살균사과즙,살균
72341,사과하자 오늘도,nan
72342,U1대학교 맑은자연 포도초,자연
72343,U1대학교 맑은자연 사과초,자연
72344,U1대학교 맑은자연 포도즙,자연
72345,생강맛 사각 V 전병,생강
72346,스노우붓세 딸기,스노우
72347,추억의건빵,추억
72348,알찬보리건빵,보리
72349,베타(B)보리 4.3,베타
72350,매콤한 포테이토칩,매콤
72351,검은콩건빵,건빵
72352,감자알칩 볶음고추장맛,감자
72353,감자알칩,감자
72354,보리건빵,보리
72355,남대문찹쌀도나스,남대문
72356,맥콜보리건빵,맥콜
72357,공룡알칩 치즈마요,공룡
72358,고구맘팥파이,고구
72359,고구맘모카파이,고구
72360,고구맘스틱만쥬,고구
72361,고구맘치즈파이,고구
72362,고구맘파이,고구
72363,고구맘홍삼파이,고구
72364,그린빠따뜨,그린
72365,자색빠따뜨,nan
72366,청룡가렛트,nan
72367,코코넛만쥬,코코넛
72368,통고구마,고구마
72369,호박코코넛만쥬,호박
72370,황룡가렛트,nan
72371,콘팡,nan
72372,밭두렁,nan
72373,청주오믈렛 녹차,청주
72374,청주오믈렛 모카,청주
72375,청주오믈렛 생딸기,청주
72376,청주오믈렛 생크림,청주
72377,청주오믈렛 옥수수,청주
72378,청주오믈렛 초코,청주
72379,청주초코파이,청주
72380,통밀당 초코파이,밀
72381,바나나빵,바나나빵
72382,오븐에 구운 바나나빵,오븐
72383,오븐에 구운 초코바나나빵,오븐
72384,노치올라 프란그라짜 N.1,프란
72385,노치올라 프란그라짜 N.2,프란
72386,리모나타 (73955),리모
72387,아르헨떼 델리카트슨 올리브오일 포테이토칩,아르
72388,아르헨떼 델리카트슨 포테이토칩,아르
72389,알룐카 밀크 딸기 비스킷,밀크
72390,알룐카 밀크 비스킷,밀크
72391,알룐카 밀크 씨리얼 비스킷,밀크
72392,알룐카 밀크헤즐넛 초콜릿,초콜릿
72393,알룐카 헤이즐넛 피넛 비스킷,비스킷
72394,엘사보르 나쵸 앤 딥 살사,엘사
72395,엘사보르 나쵸 앤 딥 치즈,엘사
72396,엘사보르 솔티드 나쵸칩,엘사
72397,엘사보르 치즈향 나쵸칩 (100g),엘사
72398,엘사보르 칠리향 나쵸칩 (100g),엘사
72399,이 비바네시 콘 올리오 엑스트라 버진 디 올리바 250g (1138),비바
72400,클래식 파네토네 1KG 빈티지 (181778),클래식
72401,파네토네 마롱 글라세 (마롱 9.76% 함유) (97583),파네토네
72402,파네토네 아란시아 이 고쎄 디 쇼콜라토(181599),파네토네
72403,파네토네 클래시코 글라사토 (65117),파네토네
72404,예가원 다시마 부각,다시마
72405,충주 사과 팝콘,충주
72406,바삭하고 고소한 우유팝콘,우유
72407,고소하고 매콤 달콤한 고추 팝콘,매콤
72408,미안한 둘째 며느리의 사랑이 담긴 효도 부각,부각
72409,미듬애 부각(카레맛),부각
72410,미듬애 부각(다시마),부각
72411,날씬한 미스김이 몰래 먹는 부각,미스
72412,미듬애 부각(전통맛),부각
72413,미듬애 부각(반찬용),부각
72414,로렌즈 솔트레츠 브레첼,렌즈
72415,로렌즈크런칩스바베큐향,nan
72416,로렌즈크런칩스솔티드,nan
72417,로렌즈크런칩스치즈앤어니언,nan
72418,맥비티 다이제스티브,다이
72419,맥비티 리치티 비스킷,리치
72420,맥비티 모닝 비스킷,모닝
72421,맥비티 미니체다 오리지널,미
72422,맥비티 버터 쇼트브레드,버터
72423,맥비티 브루봉 비스킷,비스킷
72424,맥비티 숏 케이크 비스킷,케이크
72425,맥비티 진저 너츠,진
72426,맥비티 홉놉,nan
72427,카스 테이블워터 참깨 크래커,카스
72428,카스 테이블워터 페퍼 크래커,카스
72429,카스테이블워터 마늘허브 크래커,카스
72430,카스테이블워터 크래커,카스
