,DESC_KOR,NN
0,꿩불고기,불고기
1,닭갈비,닭갈비
2,닭갈비,닭갈비
3,닭꼬치,닭꼬치
4,더덕구이,더덕
5,도미구이,도미
6,돼지갈비,돼지갈비
7,병어구이,병어
8,불고기,불고기
9,붕장어소금구이,붕장어
10,소양념갈비구이,nan
11,양념왕갈비,갈비
12,양념장어구이,nan
13,임연수구이,임연
14,짚불구이곰장어,구이
15,햄버그스테이크,햄버그
16,황태구이,황태
17,훈제오리,훈제
18,게국지,게국지
19,곰치국,곰치
20,굴국밥,굴국밥
21,김치국,김치
22,떡만둣국,만둣국
23,만둣국,만둣국
24,맑은감자국,감자
25,매생이국,매생이
26,무된장국,nan
27,미소된장국,미소
28,바지락조개국,바지락
29,뼈다귀해장국,해장국
30,선지해장국,선지
31,소고기무국,무국
32,소고기미역국,미역국
33,순대국,대국
34,시래기된장국,nan
35,올갱이국,nan
36,우거지해장국,해장국
37,우렁된장국,nan
38,탕국,nan
39,홍합미역국,홍합
40,황태해장국,황태
41,고추잡채,고추
42,난자완스,nan
43,도토리묵말이,도토리묵
44,라조기,nan
45,물회,nan
46,생선물회,선물
47,소고기샤브샤브,nan
48,오징어순대,오징어
49,초당순두부,초당
50,해파리냉채,해파리
51,고들빼기,고들빼기
52,열무얼갈이김치,김치
53,미나리나물,미나리
54,취나물,취나물
55,콩나물,콩나물
56,경단(깨),경단
57,경단(콩),경단
58,기피편,기피
59,녹두시루떡,녹두
60,메밀전병,메밀
61,무지개떡,무지개떡
62,송편(깨),송편
63,송편(콩),송편
64,수수부꾸미,수수
65,수수팥떡,nan
66,시루떡,시루떡
67,쑥떡,쑥떡
68,절편,절편
69,찹쌀떡,찹쌀떡
70,간자장,자장
71,굴짬뽕,짬뽕
72,기스면,기스면
73,김치라면,김치라면
74,김치우동,김치
75,냉김치말이국수,김치
76,닭칼국수,칼국수
77,둘깨칼국수,칼국수
78,막국수,막국수
79,삼선우동,우동
80,삼선자장면,nan
81,삼선짬뽕,짬뽕
82,쌀국수,쌀국수
83,열무김치국수,열무김치
84,열무냉면,냉면
85,오일소스스파게티,소스
86,올갱이국수,이
87,우동(일식),우동
88,우동(중식),우동
89,울면,울면
90,자장면,nan
91,짬뽕라면,짬뽕
92,치즈라면,치즈
93,크림소스스파게티,크림
94,토마토소스스파게티,토마토
95,해물칼국수,칼국수
96,해물크림소스스파게티,크림
97,해물토마토소스스파게티,토마토
98,골뱅이무침,골뱅이
99,노각무침,노
100,단무지무침,nan
101,달래나물무침,달래
102,더덕무침,더덕
103,도토리묵,도토리묵
104,밴댕이무침,밴댕이
105,서대회무침,서
106,쑥갓나물무침,쑥갓
107,우거지나물무침,나물
108,쥐치채,쥐치
109,청포묵무침,nan
110,탕평채,탕평채
111,홍어무침,홍어
112,고추장불고기 삼각김밥,고추장
113,곤드레나물밥,곤
114,국밥,국밥
115,농어초밥,농어
116,돼지국밥,돼지국밥
117,류산슬덮밥,nan
118,멍게비빔밥,멍게
119,멸치주먹밥,멸치
120,묵밥,nan
121,문어초밥,문어
122,비빔밥,비빔밥
123,삼선볶음밥,볶음밥
124,새우초밥,새우
125,새우튀김롤,새우
126,샐러드김밥,샐러드
127,생선초밥(광어),생선
128,생선초밥(모듬),생선
129,소고기국밥,국밥
130,소고기김밥,김밥
131,송이덮밥,송이
132,숯불갈비 삼각김밥,삼각김밥
133,약초비빔밥,비빔밥
134,연어롤,연어
135,연어초밥,연어
136,오곡밥,오곡밥
137,자장밥,자장
138,잡탕밥,nan
139,장어덮밥,장어
140,장어초밥,장어
141,참치덮밥,nan
142,참치마요네즈 삼각김밥,마요네즈
143,충무김밥,충무김밥
144,캘리포니아롤,캘리포니아
145,한치초밥,초밥
146,해물덮밥,nan
147,해물볶음밥,볶음밥
148,회덮밥,회덮밥
149,깻잎나물볶음,나물
150,돼지고기볶음,돼지고기
151,돼지껍데기볶음,돼지
152,두부김치,두부김치
153,머위나물볶음,머위
154,멸치풋고추볶음,멸치
155,소세지볶음,볶음
156,순대볶음,순대볶음
157,양송이버섯볶음,양송이
158,오삼불고기,불고기
159,주꾸미볶음,주꾸미
160,표고버섯볶음,볶음
161,해물볶음,볶음
162,곰보빵,곰보빵
163,만주,만주
164,버터크림빵,버터크림
165,불고기피자,불고기
166,참치샌드위치,샌드위치
167,찹쌀도우넛,nan
168,채소고로케,채소
169,초콜릿케이크,초콜릿
170,치즈케이크,치즈케이크
171,치즈피자,치즈
172,페이스트리빵,페이스트리
173,페퍼로니피자,페퍼로니
174,포테이토피자,테이
175,수정과,수정과
176,식혜,식혜
177,간장마늘쫑장아찌,nan
178,고추장마늘쫑장아찌,nan
179,매실장아찌,장아찌
180,무장아찌,장아찌
181,계적,nan
182,낙지꼬지,낙지
183,돔베기적,기적
184,소고기산적,nan
185,소라산적,소라
186,오징어산적,오징어
187,홍어적,홍어
188,홍합산적,홍합
189,가자미전,가자미
190,고추전,고추
191,굴전,전
192,깻잎전,전
193,녹두빈대떡,녹두
194,동그랑땡(육원전),전
195,동태전,전
196,두부전,부전
197,미나리전,미나리
198,배추전,배추
199,버섯전,버섯
200,야채전,전
201,파전,파전
202,햄부침,nan
203,호박부침개,호박
204,호박전,호박
205,화양적,nan
206,가자미조림,가자미
207,고추조림,고추
208,동태조림,조림
209,돼지고기메추리알장조림,돼지고기
210,북어조림,조림
211,소고기메추리알장조림,소고
212,조기조림,조기
213,게살죽,게살
214,깨죽,nan
215,백합죽,백합
216,소고기버섯죽,버섯
217,어죽,nan
218,잣죽,잣죽
219,참치죽,nan
220,고등어찌개,찌개
221,김치찌개,김치찌개
222,꽁치찌개,꽁치
223,두부전골,nan
224,버섯찌개,버섯
225,부대찌개,부대찌개
226,새우젓두부찌개,새우젓
227,소곱창전골,곱창전골
228,햄김치찌개,김치찌개
229,호박찌개,호박
230,대구찜,대구
231,도미찜,도미
232,동태찜,nan
233,돼지등갈비찜,돼지
234,돼지머리고기,돼지
235,매운갈비찜,갈비찜
236,문어숙회,문어
237,민어찜,민어
238,병어찜,병어
239,북어찜,nan
240,붕어찜,붕어
241,소갈비찜,갈비찜
242,순대,순대
243,아구찜,nan
244,아구찜,nan
245,안동찜닭,안동찜닭
246,전어찜,전어
247,조기찜,nan
248,참꼬막,꼬막
249,한방오리백숙,오리
250,해물찜,nan
251,홍어찜,홍어
252,갈낙탕,nan
253,곰탕,곰탕
254,광어매운탕,매운탕
255,낙지탕,낙지
256,대구매운탕,대구
257,대구지리탕,구지리
258,메기매운탕,메기
259,복지리탕,복지
260,소탕,nan
261,아구탕,아
262,어탕,nan
263,연포탕,연포탕
264,우럭매운탕,우럭
265,육탕,nan
266,전복탕,전복
267,조기매운탕,조기
268,짱뚱어탕,짱뚱어
269,추어탕,추어탕
270,해물탕,해물탕
271,고구마맛탕,고구마
272,고구마튀김,고구마
273,고추튀김,고추
274,닭튀김,닭튀김
275,등심돈가스,등심
276,모래집튀김,모래
277,미꾸라지튀김,미꾸라지
278,생선까스,nan
279,안심돈가스,안심
280,양념치킨,양념치킨
281,쥐포튀김,쥐포
282,치즈돈가스,치즈
283,치킨까스,nan
284,대구포,구포
285,북어포,북
286,매작과,매작과
287,산자,nan
288,송화다식,송화
289,약과,약과
290,유과,유과
291,글램핑 바비큐(오리지널 L),글램
292,글램핑 바비큐(나폴리M),글램
293,글램핑 바비큐(나폴리L),글램
294,글램핑 바비큐(씬 M),글램
295,글램핑 바비큐(씬 L),글램
296,글램핑 바비큐(슈퍼시드 함유 도우M),글램
297,글램핑 바비큐(슈퍼시드 함유 도우L),글램
298,글램핑 바비큐 더블치즈엣지(오리지널 M),글램
299,글램핑 바비큐 더블치즈엣지(오리지널 L),글램
300,더블크러스트 이베리코(더블 크러스트 L),베리
301,더블크러스트 이베리코(더블 크러스트 M),베리
302,리얼불고기(오리지널 L),리얼
303,리얼불고기(오리지널 M),리얼
304,리얼불고기(나폴리L),리얼
305,리얼불고기(나폴리M),리얼
306,리얼불고기(씬 L),리얼
307,리얼불고기(씬 M),리얼
308,리얼불고기(슈퍼시드 함유 도우L),리얼
309,리얼불고기(슈퍼시드 함유 도우M),리얼
310,리얼불고기 더블치즈엣지(오리지널 L),리얼
311,리얼불고기 더블치즈엣지(오리지널 M),리얼
312,문어밤 슈림프(오리지널 L),문어
313,문어밤 슈림프(오리지널 M),문어
314,문어밤 슈림프(나폴리L),문어
315,문어밤 슈림프(나폴리M),문어
316,문어밤 슈림프(씬 L),문어
317,문어밤 슈림프(씬 M),문어
318,문어밤 슈림프(슈퍼시드 함유 도우L),문어
319,문어밤 슈림프(슈퍼시드 함유 도우M),문어
320,문어밤 슈림프 더블치즈엣지(오리지널 L),문어
321,문어밤 슈림프 더블치즈엣지(오리지널 M),문어
322,베스트 콰트로(오리지널 L),베스트
323,베스트 콰트로(오리지널 M),베스트
324,베스트 콰트로(나폴리L),베스트
325,베스트 콰트로(나폴리M),베스트
326,베스트 콰트로(씬 L),베스트
327,베스트 콰트로(씬 M),베스트
328,베스트 콰트로(슈퍼시드 함유 도우L),베스트
329,베스트 콰트로(슈퍼시드 함유 도우M),베스트
330,베스트 콰트로 더블치즈엣지(오리지널 L),베스트
331,베스트 콰트로 더블치즈엣지(오리지널 M),베스트
332,베이컨체더치즈(오리지널 L),베이컨
333,베이컨체더치즈(오리지널 M),베이컨
334,베이컨체더치즈(나폴리L),베이컨
335,베이컨체더치즈(나폴리M),베이컨
336,베이컨체더치즈(씬 L),베이컨
337,베이컨체더치즈(씬 M),베이컨
338,베이컨체더치즈(슈퍼시드 함유 도우L),베이컨
339,베이컨체더치즈(슈퍼시드 함유 도우M),베이컨
340,베이컨체더치즈 더블치즈엣지(오리지널 L),베이컨
341,베이컨체더치즈 더블치즈엣지(오리지널 M),베이컨
342,불고기(오리지널 L),불고기
343,불고기(오리지널 M),불고기
344,불고기(나폴리L),불고기
345,불고기(나폴리M),불고기
346,불고기(씬 L),불고기
347,불고기(씬 M),불고기
348,불고기(슈퍼시드 함유 도우L),불고기
349,불고기(슈퍼시드 함유 도우M),불고기
350,불고기 더블치즈엣지(오리지널 L),불고기
351,불고기 더블치즈엣지(오리지널 M),불고기
352,블랙앵거스 스테이크(오리지널 L),블랙
353,블랙앵거스 스테이크(오리지널 M),블랙
354,블랙앵거스 스테이크(나폴리L),블랙
355,블랙앵거스 스테이크(나폴리M),블랙
356,블랙앵거스 스테이크(씬 L),블랙
357,블랙앵거스 스테이크(씬 M),블랙
358,블랙앵거스 스테이크(슈퍼시드 함유 도우L),블랙
359,블랙앵거스 스테이크(슈퍼시드 함유 도우M),블랙
360,블랙앵거스 스테이크 더블치즈엣지(오리지널 L),블랙
361,블랙앵거스 스테이크 더블치즈엣지(오리지널 M),블랙
362,블랙타이거 슈림프(오리지널 L),블랙
363,블랙타이거 슈림프(오리지널 M),블랙
364,블랙타이거 슈림프(나폴리M),블랙
365,블랙타이거 슈림프(나폴리L),블랙
366,블랙타이거 슈림프(씬 M),블랙
367,블랙타이거 슈림프(씬 L),블랙
368,블랙타이거 슈림프(슈퍼시드 함유 도우L),블랙
369,블랙타이거 슈림프 더블치즈엣지(오리지널 L),블랙
370,블랙타이거슈림프(슈퍼시드 함유 도우M),도우
371,블랙타이거슈림프 더블치즈엣지(오리지널 M),nan
372,슈퍼디럭스(오리지널 L),슈퍼
373,슈퍼디럭스(오리지널 M),슈퍼
374,슈퍼디럭스(나폴리L),슈퍼
375,슈퍼디럭스(나폴리M),슈퍼
376,슈퍼디럭스(씬 L),슈퍼
377,슈퍼디럭스(씬 M),슈퍼
378,슈퍼디럭스(슈퍼시드 함유 도우L),슈퍼
379,슈퍼디럭스(슈퍼시드 함유 도우M),슈퍼
380,슈퍼디럭스 더블치즈엣지(오리지널 L),슈퍼
381,슈퍼디럭스 더블치즈엣지(오리지널 M),슈퍼
382,슈퍼슈프림(오리지널 L),슈퍼
383,슈퍼슈프림(오리지널 M),슈퍼
384,슈퍼슈프림(나폴리L),슈퍼
385,슈퍼슈프림(나폴리M),슈퍼
386,슈퍼슈프림(씬 L),슈퍼
387,슈퍼슈프림(씬 M),슈퍼
388,슈퍼슈프림(슈퍼시드 함유 도우L),슈퍼
389,슈퍼슈프림(슈퍼시드 함유 도우M),슈퍼
390,슈퍼슈프림 더블치즈엣지(오리지널 L),슈퍼
391,슈퍼슈프림 더블치즈엣지(오리지널 M),슈퍼
392,와규 앤 비스테카(오리지널 L),앤
393,와규 앤 비스테카(오리지널 M),앤
394,와규 앤 비스테카(나폴리L),앤
395,와규 앤 비스테카(나폴리M),앤
396,와규 앤 비스테카(씬 L),앤
397,와규 앤 비스테카(씬 M),앤
398,와규 앤 비스테카(슈퍼시드 함유 도우L),앤
399,와규 앤 비스테카(슈퍼시드 함유 도우M),앤
400,와규 앤 비스테카 더블치즈엣지(오리지널 L),앤
401,와규 앤 비스테카 더블치즈엣지(오리지널 M),앤
402,우리 고구마(오리지널 L),고구마
403,우리 고구마(오리지널 M),고구마
404,우리 고구마(나폴리L),고구마
405,우리 고구마(나폴리M),고구마
406,우리 고구마(씬 L),고구마
407,우리 고구마(씬 M),고구마
408,우리 고구마(슈퍼시드 함유 도우L),고구마
409,우리 고구마(슈퍼시드 함유 도우M),고구마
410,우리 고구마 더블치즈엣지(오리지널 L),고구마
411,우리 고구마 더블치즈엣지(오리지널 M),고구마
412,직화 스테이크(오리지널 L),스테이크
413,직화 스테이크(오리지널 M),스테이크
414,직화 스테이크(나폴리L),스테이크
415,직화 스테이크(나폴리M),스테이크
416,직화 스테이크(씬 L),스테이크
417,직화 스테이크(씬 M),스테이크
418,직화 스테이크(슈퍼시드 함유 도우L),스테이크
419,직화 스테이크(슈퍼시드 함유 도우M),스테이크
420,직화 스테이크 더블치즈엣지(오리지널 M),스테이크
421,직화 스테이크 더블치즈엣지(오리지널 L),스테이크
422,치즈(오리지널 L),치즈
423,치즈(오리지널 M),치즈
424,치즈(나폴리L),치즈
425,치즈(나폴리M),치즈
426,치즈(씬 L),치즈
427,치즈(씬 M),치즈
428,치즈(슈퍼시드 함유 도우L),치즈
429,치즈(슈퍼시드 함유 도우M),치즈
430,치즈 더블치즈엣지(오리지널 L),치즈
431,치즈가든(오리지널 L),치즈
432,치즈가든(오리지널 M),치즈
433,치즈가든(나폴리L),치즈
434,치즈가든(나폴리M),치즈
435,치즈가든(씬 L),치즈
436,치즈가든(씬 M),치즈
437,치즈가든(슈퍼시드 함유 도우L),치즈
438,치즈가든(슈퍼시드 함유 도우M),치즈
439,치즈가든 더블치즈엣지(오리지널 L),치즈
440,치즈가든 더블치즈엣지(오리지널 M),치즈
441,치즈피자 더블치즈엣지(오리지널 M),치즈
442,페퍼로니(오리지널 L),페퍼로니
443,페퍼로니(오리지널 M),페퍼로니
444,페퍼로니(나폴리L),페퍼로니
445,페퍼로니(나폴리M),페퍼로니
446,페퍼로니(씬 L),페퍼로니
447,페퍼로니(씬 M),페퍼로니
448,페퍼로니(슈퍼시드 함유 도우L),페퍼로니
449,페퍼로니(슈퍼시드 함유 도우M),페퍼로니
450,페퍼로니 더블치즈엣지(오리지널 L),페퍼로니
451,페퍼로니 더블치즈엣지(오리지널 M),페퍼로니
452,포테이토(오리지널 L),이토
453,포테이토(오리지널 M),이토
454,포테이토(나폴리L),이토
455,포테이토(나폴리M),이토
456,포테이토(씬 L),이토
457,포테이토(씬 M),이토
458,포테이토(슈퍼시드 함유 도우L),이토
459,포테이토(슈퍼시드 함유 도우M),이토
460,포테이토 더블치즈엣지(오리지널 L),테이
461,포테이토 더블치즈엣지(오리지널 M),테이
462,핫치킨(오리지널 L),치킨
463,핫치킨(오리지널 M),치킨
464,핫치킨(나폴리L),치킨
465,핫치킨(나폴리M),치킨
466,핫치킨(씬 L),치킨
467,핫치킨(씬 M),치킨
468,핫치킨(슈퍼시드 함유 도우L),치킨
469,핫치킨(슈퍼시드 함유 도우M),치킨
470,핫치킨 더블치즈엣지(오리지널 L),치킨
471,핫치킨 더블치즈엣지(오리지널 M),치킨
472,먹물 오징어링,먹물
473,슈퍼곡물 치킨(10조각),슈퍼
474,옥수수 버터구이(6개),옥수수
475,치킨퐁듀 그라탕,nan
476,퀴노아 치킨 샐러드,퀴노아
477,트러플 리조또,조
478,포테이토 순살치킨(3조각),테이
479,프레시 코울슬로,울
480,프레시 콘샐러드,콘
481,프렌치 라따뚜이,프렌치
482,하프&하프 스파게티 (NEW 치즈 & 화이트 크림),하프
483,화이트 크림 스파게티,화이트
484,NEW 치즈 볼로네즈 스파게티,치즈
485,티본스테이크&쉬림프(클래식)M,nan
486,티본스테이크&쉬림프(클래식)L,nan
487,티본스테이크&쉬림프(크런치)M,nan
488,티본스테이크&쉬림프(크런치)L,nan
489,티본스테이크&쉬림프(리치골드)M,nan
490,티본스테이크&쉬림프(리치골드)L,nan
491,티본스테이크&쉬림프(치즈크러스트)M,nan
492,티본스테이크&쉬림프(치즈크러스트)L,nan
493,더블치즈 티본스테이크(클래식)M,더블
494,더블치즈 티본스테이크(클래식)L,더블
495,더블치즈 티본스테이크(크런치)M,더블
496,더블치즈 티본스테이크(크런치)L,더블
497,더블치즈 티본스테이크(리치골드)M,더블
498,더블치즈 티본스테이크(리치골드)L,더블
499,더블치즈 티본스테이크(치즈크러스트)M,더블
500,더블치즈 티본스테이크(치즈크러스트)L,더블
501,쉬림프올인(클래식)M,nan
502,쉬림프올인(클래식)L,nan
503,쉬림프올인(크런치)M,nan
504,쉬림프올인(크런치)L,nan
505,쉬림프올인(리치골드)M,nan
506,쉬림프올인(리치골드)L,nan
507,쉬림프올인(치즈크러스트)M,nan
508,쉬림프올인(치즈크러스트)L,nan
509,갈릭버터쉬림프(클래식)M,nan
510,갈릭버터쉬림프(클래식)L,nan
511,갈릭버터쉬림프(크런치)M,nan
512,갈릭버터쉬림프(크런치)L,nan
513,갈릭버터쉬림프(리치골드)M,nan
514,갈릭버터쉬림프(리치골드)L,nan
515,갈릭버터쉬림프(치즈크러스트)M,nan
516,갈릭버터쉬림프(치즈크러스트)L,nan
517,토핑킹(크런치)M,핑
518,토핑킹(크런치)L,핑
519,토핑킹(리치골드)M,핑
520,토핑킹(리치골드)L,핑
521,토핑킹(치즈크러스트)M,nan
522,토핑킹(치즈크러스트)L,nan
523,치즈킹(크런치)M,치즈
524,치즈킹(크런치)L,치즈
525,치즈킹(리치골드)M,치즈
526,치즈킹(리치골드)L,치즈
527,치즈킹(치즈크러스트)M,nan
528,치즈킹(치즈크러스트)L,nan
529,큐브스테이크(크런치)M,큐브
530,큐브스테이크(크런치)L,큐브
531,큐브스테이크(리치골드)M,큐브
532,큐브스테이크(리치골드)L,큐브
533,큐브스테이크(치즈크러스트)M,nan
534,큐브스테이크(치즈크러스트)L,nan
535,갈릭마블 스테이크(크런치)M,릭
536,갈릭마블 스테이크(크런치)L,릭
537,갈릭마블 스테이크(리치골드)M,릭
538,갈릭마블 스테이크(리치골드)L,릭
539,갈릭마블 스테이크(치즈크러스트)M,릭
540,갈릭마블 스테이크(치즈크러스트)L,릭
541,쉬림프&스테이크 올인(크런치)M,올인
542,쉬림프&스테이크 올인(크런치)L,올인
543,쉬림프&스테이크 올인(리치골드)M,올인
544,쉬림프&스테이크 올인(리치골드)L,올인
545,쉬림프&스테이크 올인(치즈크러스트)M,nan
546,쉬림프&스테이크 올인(치즈크러스트)L,nan
547,직화불고기(크런치)M,불고기
548,직화불고기(크런치)L,불고기
549,직화불고기(리치골드)M,불고기
550,직화불고기(리치골드)L,불고기
551,직화불고기(치즈크러스트)M,nan
552,직화불고기(치즈크러스트)L,nan
553,수퍼슈프림(크런치)M,크런치
554,수퍼슈프림(크런치)L,크런치
555,수퍼슈프림(리치골드)M,리치
556,수퍼슈프림(리치골드)L,리치
557,수퍼슈프림(치즈크러스트)M,nan
558,수퍼슈프림(치즈크러스트)L,nan
559,베이컨포테이토(크런치)M,베이컨
560,베이컨포테이토(크런치)L,베이컨
561,베이컨포테이토(리치골드)M,베이컨
562,베이컨포테이토(리치골드)L,베이컨
563,베이컨포테이토(치즈크러스트)M,nan
564,베이컨포테이토(치즈크러스트)L,nan
565,직화불고기L,불고기
566,페페로니M,페페
567,페페로니L,페페
568,수퍼슈프림L,nan
569,치즈M,치즈
570,치즈L,치즈
571,콘샐러드,콘
572,코울슬로,울
573,크림치킨파스타,크림
574,상하이쉬림프파스타,nan
575,팝콘치킨,팝콘
576,치즈볼,치즈볼
577,오리지날 윙 4조각,조각
578,오리지날 윙 8조각,조각
579,스파이시윙 4조각,스파이
580,스파이시윙 8조각,스파이
581,치킨텐더 4조각,치킨
582,치킨텐더 8조각,치킨
583,리치치즈파스타,리치
584,그뤼에르 퐁듀소스,에르
585,치즈크러스트 디핑소스,디
586,핫소스,핫소스
587,바른생피클 L,바른
588,바른생피클 M,바른
589,갓치킨L(바삭한 크런치),치킨
590,갓치킨L(쫄깃한 클래식),치킨
591,순삭포테이토L(바삭한 크런치),포
592,순삭포테이토L(쫄깃한 클래식),포
593,케미콤보(쫄깃한 클래식),클래식
594,케미콤보(바삭한 크런치),크런치
595,폭폭치즈L(쫄깃한 클래식),치즈
596,폭폭치즈L(바삭한 크런치),치즈
597,얌얌페페로니L(쫄깃한 클래식),얌
598,얌얌페페로니L(바삭한 크런치),얌
599,씨푸드아일랜드 노엣지 R,아일랜드
600,씨푸드아일랜드 해쉬브라운R,아일랜드 해
601,씨푸드아일랜드 골드R,아일랜드
602,씨푸드아일랜드 크림치즈R,아일랜드
603,씨푸드아일랜드 에그타르트R,아일랜드
604,씨푸드아일랜드 치즈캡 R,아일랜드
605,씨푸드아일랜드 노엣지 L,아일랜드
606,씨푸드아일랜드 해쉬브라운 L,아일랜드 해
607,씨푸드아일랜드 골드L,아일랜드
608,씨푸드아일랜드 크림치즈 L,아일랜드
609,씨푸드아일랜드 에그타르트 L,아일랜드
610,씨푸드아일랜드 치즈캡 L,아일랜드
611,제주흑도새기 노엣지 R,제주
612,제주흑도새기 해쉬브라운R,제주
613,제주흑도새기 골드R,제주
614,제주흑도새기 크림치즈R,제주
615,제주흑도새기 에그타르트R,제주
616,제주흑도새기 치즈캡 R,제주
617,제주흑도새기 노엣지 L,제주
618,제주흑도새기 해쉬브라운 L,제주
619,제주흑도새기 골드L,제주
620,제주흑도새기 크림치즈 L,제주
621,제주흑도새기 에그타르트 L,제주
622,제주흑도새기 치즈캡 L,제주
623,치즈블라썸 스테이크 노엣지 R,스테이크
624,치즈블라썸 스테이크 해쉬브라운R,스테이크
625,치즈블라썸 스테이크 골드R,스테이크
626,치즈블라썸 스테이크 크림치즈R,스테이크
627,치즈블라썸 스테이크 에그타르트R,스테이크
628,치즈블라썸 스테이크 치즈캡 R,스테이크
629,치즈블라썸 스테이크 노엣지 L,스테이크
630,치즈블라썸 스테이크 해쉬브라운 L,스테이크
631,치즈블라썸 스테이크 골드L,스테이크
632,치즈블라썸 스테이크 크림치즈 L,스테이크
633,치즈블라썸 스테이크 에그타르트 L,스테이크
634,치즈블라썸 스테이크 치즈캡 L,스테이크
635,새우천왕 노엣지(오리진)R,새우
636,새우천왕 치즈캡R,새우
637,새우천왕 해쉬브라운R,새우
638,새우천왕 에그타르트R,새우
639,새우천왕 골드R,새우
640,새우천왕 크림치즈R,새우
641,새우천왕 노엣지(오리진)L,새우
642,새우천왕 치즈캡L,새우
643,새우천왕 해쉬브라운L,새우
644,새우천왕 에그타르트L,새우
645,새우천왕 골드L,새우
646,새우천왕 크림치즈L,새우
647,치우천왕 오리진R,치우
648,치우천왕 치즈캡R,치우
649,치우천왕 해쉬브라운R,치우
650,치우천왕 에그타르트R,치우
651,치우천왕 골드R,치우
652,치우천왕 크림치즈R,치우
653,치우천왕 노엣지L,치우
654,치우천왕 치즈캡L,치우
655,치우천왕 해쉬브라운L,치우
656,치우천왕 에그타르트L,치우
657,치우천왕 골드L,치우
658,치우천왕 크림치즈L,치우
659,트레비앙 해쉬브라운R,트레비
660,트레비앙 에그타르트R,트레비
661,트레비앙 오리진R,트레비
662,트레비앙 골드R,트레비
663,트레비앙 크림치즈R,트레비
664,트레비앙 치즈캡R,트레비
665,트레비앙 해쉬브라운L,트레비
666,트레비앙 에그타르트L,트레비
667,트레비앙 오리진L,트레비
668,트레비앙 골드L,트레비
669,트레비앙 크림치즈L,트레비
670,트레비앙 치즈캡L,트레비
671,러블리피스 해쉬브라운R,러브
672,러블리피스 에그타르트R,러브
673,러블리피스 오리진R,러브
674,러블리피스 골드R,러브
675,러블리피스 크림치즈R,러브
676,러블리피스 치즈캡R,러브
677,러블리피스 해쉬브라운L,러브
678,러블리피스 에그타르트L,러브
679,러블리피스 오리진L,러브
680,러블리피스 골드L,러브
681,러블리피스 크림치즈L,러브
682,러블리피스 치즈캡L,러브
683,스윗피스 해쉬브라운R,nan
684,스윗피스 에그타르트R,에그
685,스윗피스 오리진R,오리진
686,스윗피스 골드R,골드
687,스윗피스 크림치즈R,nan
688,스윗피스 치즈캡R,치즈
689,스윗피스 해쉬브라운L,nan
690,스윗피스 에그타르트L,에그
691,스윗피스 오리진L,오리진
692,스윗피스 골드L,골드
693,스윗피스 크림치즈L,nan
694,스윗피스 치즈캡L,치즈
695,로맨틱콤보 해쉬브라운R,nan
696,로맨틱콤보 에그타르트R,에그
697,로맨틱콤보 오리진R,오리진
698,로맨틱콤보 골드R,골드
699,로맨틱콤보 크림치즈R,nan
700,로맨틱콤보 치즈캡R,치즈
701,로맨틱콤보 해쉬브라운L,nan
702,로맨틱콤보 에그타르트L,에그
703,로맨틱콤보 오리진L,오리진
704,로맨틱콤보 골드L,골드
705,로맨틱콤보 크림치즈L,nan
706,로맨틱콤보 치즈캡L,치즈
707,포테이토 해쉬브라운R,테이
708,포테이토 에그타르트R,테이
709,포테이토 골드R,테이
710,포테이토 크림치즈R,테이
711,포테이토 해쉬브라운L,테이
712,포테이토 에그타르트L,테이
713,포테이토 골드L,테이
714,포테이토 크림치즈L,테이
715,쉬림프 해쉬브라운R,nan
716,쉬림프 에그타르트R,에그
717,쉬림프 오리진R,오리진
718,쉬림프 골드R,골드
719,쉬림프 크림치즈R,nan
720,쉬림프 치즈캡R,치즈
721,쉬림프 해쉬브라운L,nan
722,쉬림프 에그타르트L,에그
723,쉬림프 오리진L,오리진
724,쉬림프 골드L,골드
725,쉬림프 크림치즈L,nan
726,쉬림프 치즈캡L,치즈
727,하프앤하프 해쉬브라운R,하프
728,하프앤하프 에그타르트R,하프
729,하프앤하프 골드R,하프
730,하프앤하프 크림치즈R,하프
731,하프앤하프 해쉬브라운L,하프
732,하프앤하프 에그타르트L,하프
733,하프앤하프 골드L,하프
734,하프앤하프 크림치즈L,하프
735,풀드포크 오리진R,드
736,풀드포크 오리진L,드
737,칠리치킨 오리진R,칠리
738,칠리치킨 오리진L,칠리
739,올댓미트 오리진R,미트
740,올댓미트 오리진L,미트
741,트러플머쉬룸 오리진R,오리진
742,트러플머쉬룸 오리진L,오리진
743,부라타치즈 오리진R,부라타
744,부라타치즈 오리진L,부라타
745,찰떡단고감 노엣지R,nan
746,찰떡단고감 노엣지L,nan
747,핫앤핫 노엣지R,앤
748,핫앤핫 노엣지L,앤
749,불고기 오리진R,불고기
750,불고기 치즈캡R,불고기
751,불고기 오리진L,불고기
752,불고기 치즈캡L,불고기
753,슈퍼콤보 오리진R,오리진
754,슈퍼콤보 패스츄리,nan
755,슈퍼콤보 치즈캡R,치즈
756,슈퍼콤보 오리진L,오리진
757,슈퍼콤보 치즈캡L,치즈
758,포테이토피자 오리진R,테이
759,포테이토피자 패스츄리,테이
760,포테이토피자 치즈캡R,이토
761,포테이토피자 오리진L,테이
762,포테이토피자 치즈캡L,이토
763,치즈스페셜 오리진R,치즈
764,치즈스페셜 패스츄리,치즈
765,치즈스페셜 치즈캡R,치즈
